date,race,horseCode,place,model_prob,public_prob,odds
2024-01-24,2,HK_2019_D433,6,0.09698735905368402,0.11484389623355312,7.1
2024-01-24,2,HK_2022_H110,5,0.12142529496916361,0.06272243563524825,13.0
2024-01-24,2,HK_2021_G227,3,0.1400854152022049,0.09943800771441795,8.2
2024-01-24,2,HK_2022_H210,2,0.07617178559624098,0.18531628710414252,4.4
2024-01-24,2,HK_2020_E120,7,0.08102695134542867,0.05824226166130193,14.0
2024-01-24,2,HK_2020_E430,8,0.06464175895029346,0.025480989476819597,32.0
2024-01-24,3,HK_2020_E369,3,0.10430507660685782,0.10075043157873828,8.1
2024-01-24,3,HK_2021_G432,11,0.08752881982506867,0.004584710650493146,178.0
2024-01-24,3,HK_2021_G354,4,0.08765970792206366,0.24729651387508486,3.3
2024-01-24,3,HK_2020_E383,2,0.10520678574398673,0.07418895416252545,11.0
2024-01-24,3,HK_2023_J094,14,0.11541798902867514,0.006326189889827752,129.0
2024-01-24,3,HK_2021_G128,13,0.08343399181914918,0.05440523305251867,15.0
2024-01-24,3,HK_2023_J005,6,0.09402783849619846,0.010200981197347251,80.0
2024-01-24,3,HK_2022_H465,8,0.06058771193446831,0.008000769566546863,102.0
2024-01-24,3,HK_2019_D419,10,0.07981103528572962,0.12364825693754243,6.6
2024-01-24,3,HK_2022_H195,5,0.0575171318415192,0.1736337225080383,4.7
2024-01-24,3,HK_2021_G054,12,0.060999547961842836,0.02266884710521611,36.0
2024-01-24,3,HK_2022_H072,1,0.03376555221390296,0.05829132112769857,14.0
2024-01-24,3,HK_2017_B385,7,0.017626450808557133,0.026325112767347742,31.0
2024-01-24,3,HK_2021_G272,9,0.012112360511980173,0.08967895558107472,9.1
2024-01-24,4,HK_2020_E310,12,0.09769812715357033,0.0315732769463099,26.0
2024-01-24,4,HK_2022_H022,4,0.08234138666529156,0.16753167359266477,4.9
2024-01-24,4,HK_2020_E400,3,0.0849966903563677,0.08209052006040575,10.0
2024-01-24,4,HK_2022_H196,7,0.10136061859607602,0.08209052006040575,10.0
2024-01-24,4,HK_2022_H248,11,0.11035521062207868,0.019545361919144223,42.0
2024-01-24,4,HK_2021_G030,8,0.0832859007138123,0.13240406461355764,6.2
2024-01-24,4,HK_2020_E116,5,0.09468450502495922,0.012437957584909962,66.0
2024-01-24,4,HK_2021_H016,6,0.05907101930334301,0.20522630015101437,4.0
2024-01-24,4,HK_2020_E494,2,0.08687888671662669,0.024875915169819924,33.0
2024-01-24,4,HK_2021_G251,10,0.06513156397559886,0.10945402674720765,7.5
2024-01-24,4,HK_2021_G443,13,0.06213905790687569,0.0631465538926198,13.0
2024-01-24,4,HK_2021_G164,14,0.03244816055650847,0.006172219553413965,133.0
2024-01-24,4,HK_2020_E151,1,0.02301701149761809,0.04560584447800319,18.0
2024-01-24,4,HK_2020_E328,9,0.016591860911273352,0.01784576523052299,46.0
2024-01-24,5,HK_2020_E360,6,0.1035812403027106,0.14387180211251577,5.7
2024-01-24,5,HK_2020_E414,1,0.09075183742276743,0.0630822516954877,13.0
2024-01-24,5,HK_2020_E177,9,0.08792660486012678,0.08200692720413401,10.0
2024-01-24,5,HK_2020_E418,10,0.1011009138411521,0.13226923742602256,6.2
2024-01-24,5,HK_2022_H464,4,0.10904085712211241,0.0164013854408268,50.0
2024-01-24,5,HK_2023_J093,8,0.08219730902876325,0.0630822516954877,13.0
2024-01-24,5,HK_2021_G252,11,0.08881965307165401,0.022164034379495677,37.0
2024-01-24,5,HK_2020_E323,7,0.06681460071863508,0.14644094143595357,5.6
2024-01-24,5,HK_2021_G201,3,0.07246704238137587,0.058576376574381424,14.0
2024-01-24,5,HK_2020_E144,5,0.05471815586178122,0.1261645033909754,6.5
2024-01-24,5,HK_2023_J067,12,0.06403350441955602,0.015770562923871925,52.0
2024-01-24,5,HK_2021_H011,2,0.04436035194992002,0.13016972572084762,6.3
2024-01-24,6,HK_2022_H454,6,0.10358120652067437,0.054432691071383744,15.0
2024-01-24,6,HK_2019_D144,11,0.09075184324410561,0.03265961464283025,25.0
2024-01-24,6,HK_2022_H048,10,0.08792662829234996,0.0742263969155233,11.0
2024-01-24,6,HK_2023_J016,9,0.10110093231574414,0.08972421605173145,9.1
2024-01-24,6,HK_2022_H228,3,0.1090408583485252,0.08247377435058144,9.9
2024-01-24,6,HK_2022_H224,12,0.08219732770308238,0.2401442253149283,3.4
2024-01-24,6,HK_2022_H226,4,0.08881965239435381,0.10886538214276749,7.5
2024-01-24,6,HK_2022_H108,2,0.06681459168033217,0.10603770987931897,7.7
2024-01-24,6,HK_2022_H426,7,0.07246701722001261,0.14324392387206247,5.7
2024-01-24,6,HK_2022_H172,8,0.054718157821522395,0.03265961464283025,25.0
2024-01-24,6,HK_2019_D285,5,0.06403350040195088,0.015120191964273262,54.0
2024-01-24,6,HK_2019_D186,1,0.04436035498419814,0.020412259151768905,40.0
2024-01-24,7,HK_2021_G235,12,0.11834770062968093,0.05813978057289943,14.0
2024-01-24,7,HK_2022_H262,3,0.10264142737622446,0.18929230884199816,4.3
2024-01-24,7,HK_2022_H141,1,0.09265450341955457,0.22609914667238667,3.6
2024-01-24,7,HK_2021_G022,8,0.10814202089703331,0.05813978057289943,14.0
2024-01-24,7,HK_2021_G269,11,0.11873023011947609,0.019852608000502245,41.0
2024-01-24,7,HK_2020_E126,2,0.0809227373401979,0.05813978057289943,14.0
2024-01-24,7,HK_2020_E300,5,0.08567384304641895,0.05813978057289943,14.0
2024-01-24,7,HK_2020_E097,9,0.06950752423584786,0.09043965866895466,9.0
2024-01-24,7,HK_2022_H088,6,0.0582577582737982,0.07399608436550836,11.0
2024-01-24,7,HK_2022_H155,10,0.040109519817581075,0.1115009490439167,7.3
2024-01-24,7,HK_2022_H456,4,0.06011937713972307,0.035389431653069216,23.0
2024-01-24,7,HK_2021_G261,7,0.04773427428782509,0.020870690462066462,39.0
2024-01-24,8,HK_2019_D029,12,0.12323336070410242,0.011998698655482667,72.0
2024-01-24,8,HK_2021_G326,3,0.10208161724628889,0.1289412392827988,6.7
2024-01-24,8,HK_2022_H113,6,0.09341489419528777,0.030853796542669714,28.0
2024-01-24,8,HK_2021_G317,2,0.11427227926587909,0.19197917848772267,4.5
2024-01-24,8,HK_2022_H120,4,0.1282427316062511,0.06170759308533943,14.0
2024-01-24,8,HK_2020_E130,11,0.0815254880555717,0.008469669639164236,102.0
2024-01-24,8,HK_2022_H337,7,0.08951369906933819,0.04546875279972379,19.0
2024-01-24,8,HK_2019_D082,1,0.06351504259685349,0.03756114361716313,23.0
2024-01-24,8,HK_2022_H429,5,0.06022571935134837,0.3756114361716314,2.3
2024-01-24,8,HK_2022_H342,9,0.03858136209776449,0.008387439836842252,103.0
2024-01-24,8,HK_2021_G433,10,0.0561044303202196,0.07199219193289601,12.0
2024-01-24,8,HK_2022_H071,13,0.036955711637038854,0.005957974504791394,145.0
2024-01-24,8,HK_2020_E444,8,0.0077290326759921445,0.021070885443774442,41.0
2024-01-28,1,HK_2020_E161,9,0.10445474172987337,0.09724777338741938,8.4
2024-01-28,1,HK_2020_E452,1,0.08476318260635017,0.1738045311604942,4.7
2024-01-28,1,HK_2020_G001,4,0.08710522241328092,0.07426193604130207,11.0
2024-01-28,1,HK_2022_H168,3,0.10808391775742994,0.01183885936890323,69.0
2024-01-28,1,HK_2019_D241,10,0.12015538808520279,0.03267525185817292,25.0
2024-01-28,1,HK_2022_H354,6,0.08407328801646903,0.08168812964543229,10.0
2024-01-28,1,HK_2021_G420,5,0.09789815712695944,0.10340269575371173,7.9
2024-01-28,1,HK_2021_G029,8,0.055925472554518504,0.06807344137119357,12.0
2024-01-28,1,HK_2022_H276,2,0.08569189363678843,0.05445875309695486,15.0
2024-01-28,1,HK_2022_H206,7,0.059555056201507466,0.3025486283164159,2.7
2024-01-28,2,HK_2022_H022,7,0.09764986628537052,0.0984917062698182,10.0
2024-01-28,2,HK_2022_H189,2,0.08269605737491069,0.09948657198971533,9.9
2024-01-28,2,HK_2022_H040,9,0.08504926765378164,0.025918870071004785,38.0
2024-01-28,2,HK_2022_H101,10,0.10094143056122779,0.011066483850541368,89.0
2024-01-28,2,HK_2021_G437,3,0.1096911663166458,0.17279246714003188,5.7
2024-01-28,2,HK_2020_E194,5,0.08317110267292421,0.05471761459434343,18.0
2024-01-28,2,HK_2021_G193,8,0.09411312654799142,0.15152570195356643,6.5
2024-01-28,2,HK_2021_G255,13,0.05973330027707313,0.06566113751321212,15.0
2024-01-28,2,HK_2022_H030,4,0.08597605501387147,0.06155731641863636,16.0
2024-01-28,2,HK_2020_E376,11,0.06478961347851782,0.0984917062698182,10.0
2024-01-28,2,HK_2021_G415,12,0.062492618529438014,0.0289681489028877,34.0
2024-01-28,2,HK_2020_E316,6,0.03345650977122656,0.03283056875660606,30.0
2024-01-28,2,HK_2021_G477,1,0.02332865236823726,0.0984917062698182,10.0
2024-01-28,3,HK_2022_H076,1,0.1035812326900299,0.1694828534175854,4.8
2024-01-28,3,HK_2022_H319,3,0.0907518934920083,0.353703346262787,2.3
2024-01-28,3,HK_2023_J133,13,0.08792668798959107,0.03537033462627869,23.0
2024-01-28,3,HK_2021_G192,11,0.10110084778209016,0.0924451927732284,8.8
2024-01-28,3,HK_2023_J058,9,0.10904087762838377,0.008054630657469405,101.0
2024-01-28,3,HK_2023_J047,5,0.0821973498868996,0.03697807710929136,22.0
2024-01-28,3,HK_2022_H478,14,0.0888195618417753,0.0039683790068507805,205.0
2024-01-28,3,HK_2022_H461,10,0.06681457923956216,0.004900709014484398,166.0
2024-01-28,3,HK_2022_H065,4,0.07246699184516828,0.021986964767686756,37.0
2024-01-28,3,HK_2023_J011,2,0.05471813418006575,0.1452710172150732,5.6
2024-01-28,3,HK_2019_D050,8,0.06403353729995202,0.01936946896200976,42.0
2024-01-28,3,HK_2022_H292,7,0.0443603605466906,0.03389657068351708,24.0
2024-01-28,3,HK_2021_G025,12,0.019844344585608104,0.03389657068351708,24.0
2024-01-28,3,HK_2022_H144,6,0.01434360099217494,0.0406758848202205,20.0
2024-01-28,4,HK_2022_H401,6,0.10398074561520278,0.04786412490354575,17.0
2024-01-28,4,HK_2022_H381,3,0.0893724503804266,0.01271390817750434,64.0
2024-01-28,4,HK_2020_E294,7,0.08787427535215948,0.10299874979244021,7.9
2024-01-28,4,HK_2018_C483,4,0.10298322186582753,0.08136901233602778,10.0
2024-01-28,4,HK_2021_G230,8,0.11191490246193259,0.36985914698194444,2.2
2024-01-28,4,HK_2021_G198,9,0.08280718433358943,0.08475938785002894,9.6
2024-01-28,4,HK_2019_D362,14,0.09116647067007244,0.007014570028967912,116.0
2024-01-28,4,HK_2023_J074,11,0.0640200331330278,0.021991624955683183,37.0
2024-01-28,4,HK_2022_H404,13,0.07570074733898062,0.016951877570005786,48.0
2024-01-28,4,HK_2021_H002,1,0.05598712635702712,0.023932062451772877,34.0
2024-01-28,4,HK_2022_H278,2,0.06271423607530285,0.16273802467205556,5.0
